type,selected_severity,description,location,target_severity,model_text
NOISE,HIGH,רעש חזק בלילה שמפריע לדיירים נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_NOISE selected_HIGH location_ליד ארון החשמל רעש חזק בלילה שמפריע לדיירים נא לטפל בהקדם
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם,בגינה,MEDIUM,type_SAFETY selected_MEDIUM location_בגינה מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם
CLEANLINESS,HIGH,שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים נא לטפל בהקדם,בלובי,MEDIUM,type_CLEANLINESS selected_HIGH location_בלובי שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,LOW,תקלה לא מסוכנת אבל מפריעה לדיירים,בחדר מדרגות,MEDIUM,type_OTHER selected_LOW location_בחדר מדרגות תקלה לא מסוכנת אבל מפריעה לדיירים
CLEANLINESS,LOW,לכלוך חמור שעלול לגרום לסכנה בריאותית,בחדר אשפה,HIGH,type_CLEANLINESS selected_LOW location_בחדר אשפה לכלוך חמור שעלול לגרום לסכנה בריאותית
SAFETY,LOW,יש סכנת התחשמלות הדיירים התלוננו על זה,בקומה 5,HIGH,type_SAFETY selected_LOW location_בקומה 5 יש סכנת התחשמלות הדיירים התלוננו על זה
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה יש ריח שרוף ליד ארון החשמל
SAFETY,LOW,מרצפת שבורה שעלולה לגרום לנפילה,,MEDIUM,type_SAFETY selected_LOW location_ מרצפת שבורה שעלולה לגרום לנפילה
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה הדיירים התלוננו על זה,בקומה 5,HIGH,type_NOISE selected_HIGH location_בקומה 5 רעש חירום חזק מהחניה בשעות הלילה הדיירים התלוננו על זה
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_OTHER selected_MEDIUM location_בגינה תקלה שמשפיעה על כמה דיירים זה קורה כבר כמה פעמים
SAFETY,HIGH,שריפה קטנה בלובי,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות שריפה קטנה בלובי
CLEANLINESS,MEDIUM,צריך ניקיון רגיל בחדר מדרגות נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 5,LOW,type_CLEANLINESS selected_MEDIUM location_בקומה 5 צריך ניקיון רגיל בחדר מדרגות נא לטפל בהקדם הדיירים התלוננו על זה
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,בלובי,MEDIUM,type_OTHER selected_MEDIUM location_בלובי תקלה לא מסוכנת אבל מפריעה לדיירים
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה,בחדר מדרגות,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר מדרגות שקיות זבל נשארו ליד הכניסה
SAFETY,LOW,חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים,ליד המעלית,HIGH,type_SAFETY selected_LOW location_ליד המעלית חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים
SAFETY,LOW,דלת כניסה לא נסגרת ויש חשש ביטחוני,בחדר אשפה,MEDIUM,type_SAFETY selected_LOW location_בחדר אשפה דלת כניסה לא נסגרת ויש חשש ביטחוני
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים נא לטפל בהקדם הדיירים התלוננו על זה,בלובי,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בלובי יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים נא לטפל בהקדם הדיירים התלוננו על זה
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,בקומה 1,LOW,type_NOISE selected_LOW location_בקומה 1 יש רעש חלש מדי פעם אבל לא דחוף
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה יש כמה ניירות על הרצפה
CLEANLINESS,MEDIUM,נזילה חזקה שגורמת להצפה נא לטפל בהקדם,ליד המעלית,HIGH,type_CLEANLINESS selected_MEDIUM location_ליד המעלית נזילה חזקה שגורמת להצפה נא לטפל בהקדם
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים,ליד המעלית,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד המעלית שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים
OTHER,MEDIUM,אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה,בקומה 2,HIGH,type_OTHER selected_MEDIUM location_בקומה 2 אירוע חירום שדורש טיפול מיידי הדיירים התלוננו על זה
OTHER,LOW,דיווח כללי ללא סכנה,בקומה 5,LOW,type_OTHER selected_LOW location_בקומה 5 דיווח כללי ללא סכנה
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 בעיה שחוזרת כמה פעמים ודורשת טיפול
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,בחדר אשפה,LOW,type_CLEANLINESS selected_LOW location_בחדר אשפה יש כמה ניירות על הרצפה
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים,,HIGH,type_SAFETY selected_HIGH location_ מעלית תקועה עם אנשים בפנים
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך,בקומה 2,LOW,type_OTHER selected_LOW location_בקומה 2 יש בעיה קטנה שאפשר לטפל בה בהמשך
CLEANLINESS,HIGH,יש ריח לא נעים בלובי כבר יומיים,בקומה 5,MEDIUM,type_CLEANLINESS selected_HIGH location_בקומה 5 יש ריח לא נעים בלובי כבר יומיים
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר,,LOW,type_NOISE selected_LOW location_ מישהו הזיז רהיטים לזמן קצר
OTHER,HIGH,בקשה כללית לבדיקה כשאפשר נא לטפל בהקדם,ליד ארון החשמל,LOW,type_OTHER selected_HIGH location_ליד ארון החשמל בקשה כללית לבדיקה כשאפשר נא לטפל בהקדם
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים,בכניסה לבניין,HIGH,type_CLEANLINESS selected_HIGH location_בכניסה לבניין הצפה בחדר מדרגות ומים זורמים
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה,בקומה 5,HIGH,type_SAFETY selected_HIGH location_בקומה 5 חוטי חשמל חשופים ליד הכניסה
OTHER,HIGH,בעיה חמורה שמסכנת דיירים נא לטפל בהקדם,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה בעיה חמורה שמסכנת דיירים נא לטפל בהקדם
NOISE,LOW,צעקות ורעש בחדר מדרגות נא לטפל בהקדם,בגינה,MEDIUM,type_NOISE selected_LOW location_בגינה צעקות ורעש בחדר מדרגות נא לטפל בהקדם
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים,במחסן,LOW,type_CLEANLINESS selected_LOW location_במחסן פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים
NOISE,LOW,מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים,בחדר אשפה,HIGH,type_NOISE selected_LOW location_בחדר אשפה מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,יש ריח לא נעים בלובי כבר יומיים,בחניה,MEDIUM,type_CLEANLINESS selected_HIGH location_בחניה יש ריח לא נעים בלובי כבר יומיים
NOISE,LOW,מטרד רעש קיצוני ומתמשך,בחניה,HIGH,type_NOISE selected_LOW location_בחניה מטרד רעש קיצוני ומתמשך
SAFETY,LOW,תאורה חלשה באזור הכניסה,,LOW,type_SAFETY selected_LOW location_ תאורה חלשה באזור הכניסה
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,בחדר מדרגות,HIGH,type_NOISE selected_HIGH location_בחדר מדרגות קולות חזקים של שבירה ואלימות מהדירה
SAFETY,HIGH,מרצפת שבורה שעלולה לגרום לנפילה זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_SAFETY selected_HIGH location_בגינה מרצפת שבורה שעלולה לגרום לנפילה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה,,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ שקיות זבל נשארו ליד הכניסה
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים הדיירים התלוננו על זה,,HIGH,type_SAFETY selected_HIGH location_ קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,HIGH,יש סכנת התחשמלות,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה יש סכנת התחשמלות
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם,בקומה 1,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 1 מעקה רופף שצריך תיקון בהקדם
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים,בלובי,LOW,type_CLEANLINESS selected_LOW location_בלובי פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,הצפה בחדר מדרגות ומים זורמים,בלובי,HIGH,type_CLEANLINESS selected_MEDIUM location_בלובי הצפה בחדר מדרגות ומים זורמים
CLEANLINESS,MEDIUM,נזילה חזקה שגורמת להצפה הדיירים התלוננו על זה,בלובי,HIGH,type_CLEANLINESS selected_MEDIUM location_בלובי נזילה חזקה שגורמת להצפה הדיירים התלוננו על זה
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם,בחניה,HIGH,type_OTHER selected_HIGH location_בחניה אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני,בקומה 1,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 1 דלת כניסה לא נסגרת ויש חשש ביטחוני
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים,בחניה,HIGH,type_CLEANLINESS selected_HIGH location_בחניה אשפה מסוכנת מפוזרת בכניסה לבניין זה קורה כבר כמה פעמים
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף נא לטפל בהקדם,,LOW,type_NOISE selected_LOW location_ יש רעש חלש מדי פעם אבל לא דחוף נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע,בחניה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחניה יש הרבה אשפה בחדר אשפה וריח רע
CLEANLINESS,LOW,נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים הדיירים התלוננו על זה,ליד המעלית,HIGH,type_CLEANLINESS selected_LOW location_ליד המעלית נזילה חזקה שגורמת להצפה זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,ליד ארון החשמל,MEDIUM,type_OTHER selected_MEDIUM location_ליד ארון החשמל תקלה לא מסוכנת אבל מפריעה לדיירים
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה,בקומה 5,HIGH,type_SAFETY selected_HIGH location_בקומה 5 חוטי חשמל חשופים ליד הכניסה
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה הדיירים התלוננו על זה,בחדר מדרגות,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר מדרגות שקיות זבל נשארו ליד הכניסה הדיירים התלוננו על זה
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים נא לטפל בהקדם,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין מעלית תקועה עם אנשים בפנים נא לטפל בהקדם
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים נא לטפל בהקדם,בקומה 5,HIGH,type_SAFETY selected_HIGH location_בקומה 5 מעלית תקועה עם אנשים בפנים נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש קצת לכלוך בלובי,ליד המעלית,LOW,type_CLEANLINESS selected_MEDIUM location_ליד המעלית יש קצת לכלוך בלובי
SAFETY,HIGH,ריח גז חזק בבניין נא לטפל בהקדם,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין ריח גז חזק בבניין נא לטפל בהקדם
OTHER,LOW,דיווח כללי ללא סכנה זה קורה כבר כמה פעמים,בגינה,LOW,type_OTHER selected_LOW location_בגינה דיווח כללי ללא סכנה זה קורה כבר כמה פעמים
NOISE,LOW,רעש קל מהחצר בשעות היום,בחדר מדרגות,LOW,type_NOISE selected_LOW location_בחדר מדרגות רעש קל מהחצר בשעות היום
OTHER,HIGH,תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
OTHER,LOW,בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים נא לטפל בהקדם,בקומה 2,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 2 מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני נא לטפל בהקדם,בלובי,MEDIUM,type_SAFETY selected_MEDIUM location_בלובי דלת כניסה לא נסגרת ויש חשש ביטחוני נא לטפל בהקדם
SAFETY,HIGH,עשן יוצא מחדר החשמל זה קורה כבר כמה פעמים נא לטפל בהקדם,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית עשן יוצא מחדר החשמל זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,HIGH,ריח גז חזק בבניין,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין ריח גז חזק בבניין
NOISE,MEDIUM,יש רעש חלש מדי פעם אבל לא דחוף הדיירים התלוננו על זה,בקומה 2,LOW,type_NOISE selected_MEDIUM location_בקומה 2 יש רעש חלש מדי פעם אבל לא דחוף הדיירים התלוננו על זה
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,בחדר מדרגות,HIGH,type_NOISE selected_HIGH location_בחדר מדרגות רעש חריג מאוד באמצע הלילה עם צעקות חזקות
NOISE,HIGH,מטרד רעש קיצוני ומתמשך הדיירים התלוננו על זה,,HIGH,type_NOISE selected_HIGH location_ מטרד רעש קיצוני ומתמשך הדיירים התלוננו על זה
SAFETY,LOW,דלת המחסן לא נסגרת טוב נא לטפל בהקדם הדיירים התלוננו על זה,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל דלת המחסן לא נסגרת טוב נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,HIGH,עשן יוצא מחדר החשמל,,HIGH,type_SAFETY selected_HIGH location_ עשן יוצא מחדר החשמל
OTHER,MEDIUM,דיווח כללי ללא סכנה,בקומה 2,LOW,type_OTHER selected_MEDIUM location_בקומה 2 דיווח כללי ללא סכנה
OTHER,HIGH,נדרש טיפול של ועד הבית בזמן הקרוב נא לטפל בהקדם,בחדר מדרגות,MEDIUM,type_OTHER selected_HIGH location_בחדר מדרגות נדרש טיפול של ועד הבית בזמן הקרוב נא לטפל בהקדם
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית זה קורה כבר כמה פעמים,,HIGH,type_OTHER selected_HIGH location_ אירוע חריג שמצריך תגובה מיידית זה קורה כבר כמה פעמים
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,בחדר אשפה,LOW,type_SAFETY selected_LOW location_בחדר אשפה יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
SAFETY,LOW,מעקה רופף שצריך תיקון בהקדם,במחסן,MEDIUM,type_SAFETY selected_LOW location_במחסן מעקה רופף שצריך תיקון בהקדם
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה,בחדר מדרגות,HIGH,type_NOISE selected_HIGH location_בחדר מדרגות רעש חירום חזק מהחניה בשעות הלילה
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים,בחניה,MEDIUM,type_SAFETY selected_MEDIUM location_בחניה דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל מרצפת מעט עקומה ללא סכנה מיידית
CLEANLINESS,HIGH,לכלוך חריג בחדר מדרגות,בקומה 1,MEDIUM,type_CLEANLINESS selected_HIGH location_בקומה 1 לכלוך חריג בחדר מדרגות
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר,במחסן,MEDIUM,type_CLEANLINESS selected_MEDIUM location_במחסן נזילה קטנה שגרמה לרטיבות בקיר
CLEANLINESS,LOW,אשפה מסוכנת מפוזרת בכניסה לבניין,בחניה,HIGH,type_CLEANLINESS selected_LOW location_בחניה אשפה מסוכנת מפוזרת בכניסה לבניין
OTHER,HIGH,תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה תקלה דחופה מאוד בבניין זה קורה כבר כמה פעמים
NOISE,HIGH,רעש חזק בלילה שמפריע לדיירים,ליד ארון החשמל,MEDIUM,type_NOISE selected_HIGH location_ליד ארון החשמל רעש חזק בלילה שמפריע לדיירים
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,,MEDIUM,type_SAFETY selected_MEDIUM location_ תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,בקומה 1,LOW,type_NOISE selected_LOW location_בקומה 1 יש רעש חלש מדי פעם אבל לא דחוף
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית,בקומה 1,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 1 לכלוך חמור שעלול לגרום לסכנה בריאותית
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,במחסן,HIGH,type_CLEANLINESS selected_HIGH location_במחסן ביוב עולה ויש ריח חריף מאוד
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_CLEANLINESS selected_LOW location_ליד המעלית פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים
OTHER,HIGH,בעיה חמורה שמסכנת דיירים,במחסן,HIGH,type_OTHER selected_HIGH location_במחסן בעיה חמורה שמסכנת דיירים
OTHER,LOW,בקשה כללית לבדיקה כשאפשר,ליד ארון החשמל,LOW,type_OTHER selected_LOW location_ליד ארון החשמל בקשה כללית לבדיקה כשאפשר
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_OTHER selected_LOW location_ליד המעלית יש בעיה קטנה שאפשר לטפל בה בהמשך זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש קצת לכלוך בלובי הדיירים התלוננו על זה,בקומה 1,LOW,type_CLEANLINESS selected_LOW location_בקומה 1 יש קצת לכלוך בלובי הדיירים התלוננו על זה
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין,בקומה 1,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 1 אשפה מסוכנת מפוזרת בכניסה לבניין
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול זה קורה כבר כמה פעמים,,MEDIUM,type_OTHER selected_MEDIUM location_ בעיה שחוזרת כמה פעמים ודורשת טיפול זה קורה כבר כמה פעמים
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,LOW,תאורה חלשה באזור הכניסה,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 תאורה חלשה באזור הכניסה
OTHER,MEDIUM,יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם הדיירים התלוננו על זה,ליד ארון החשמל,LOW,type_OTHER selected_MEDIUM location_ליד ארון החשמל יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל מרצפת מעט עקומה ללא סכנה מיידית
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים,בקומה 1,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 1 רעש מתמשך מהחניה זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,,LOW,type_CLEANLINESS selected_LOW location_ יש מעט אבק ליד הכניסה
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם,בחניה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחניה לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני נא לטפל בהקדם,בחדר אשפה,MEDIUM,type_SAFETY selected_MEDIUM location_בחדר אשפה דלת כניסה לא נסגרת ויש חשש ביטחוני נא לטפל בהקדם
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים,ליד ארון החשמל,HIGH,type_OTHER selected_HIGH location_ליד ארון החשמל אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,,MEDIUM,type_OTHER selected_MEDIUM location_ תקלה לא מסוכנת אבל מפריעה לדיירים
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 מרצפת שבורה שעלולה לגרום לנפילה
SAFETY,MEDIUM,עשן יוצא מחדר החשמל,בלובי,HIGH,type_SAFETY selected_MEDIUM location_בלובי עשן יוצא מחדר החשמל
SAFETY,LOW,דלת המחסן לא נסגרת טוב,,LOW,type_SAFETY selected_LOW location_ דלת המחסן לא נסגרת טוב
NOISE,LOW,רעש קל מהחצר בשעות היום,בגינה,LOW,type_NOISE selected_LOW location_בגינה רעש קל מהחצר בשעות היום
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים,ליד ארון החשמל,MEDIUM,type_NOISE selected_MEDIUM location_ליד ארון החשמל שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית יש ניצוצות מארון החשמל בלובי
SAFETY,MEDIUM,מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים,בכניסה לבניין,LOW,type_SAFETY selected_MEDIUM location_בכניסה לבניין מרצפת מעט עקומה ללא סכנה מיידית זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,בקומה 2,LOW,type_CLEANLINESS selected_LOW location_בקומה 2 יש מעט אבק ליד הכניסה
SAFETY,MEDIUM,יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 2,HIGH,type_SAFETY selected_MEDIUM location_בקומה 2 יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם הדיירים התלוננו על זה
